No,Oil_and_Gas_Company,Procurement_Type,Procurement Title,Description,Start_Date,End_Date,Attachment
97,Oil Dynamics Ltd.,Jasa,Drilling Rig Services 750 HP,Calon Peserta Lelang diminta untuk mengajukan proposal jasa 1 (unit) unit rig pemboran di darat dengan kapasitas 750 HP untuk jangka waktu 12 (dua belas) bulan yang akan dimulai segera,2023-10-19,2023-10-26,PCJ-2798-CA.pdf
98,Oil Dynamics Ltd.,Jasa,Provision of ROV Services for TSB Phase 2,"Perusahaan membutuhkan Jasa jasa ROV services , terdiri dari penyediaan peralatan, pekerja, material untuk menunjang kegiatan pemboran perusahaan",2023-10-19,2023-10-26,e-proc.pdf
99,Oil Quest Ltd.,Jasa,VSAT Link Rental and Services for Rig Jabung,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰VSAT Link Rental and Services for Rig Jabung°¬ untuk mendukung kegiatan operasional Perusahaan di blok Jabung, Jambi, Sumatera",2023-10-19,2023-10-26,PCJ-2802-CA.pdf
100,Oil Quest Ltd.,Barang,PROVIDE AQUA BOTTLE SUPPLY AND RENT DISPENSER FOR PETROCHINA OFFICE FROM LOBBY TO 27th FLOOR,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Provide Aqua Bottle Supply and Rent Dispenser for PetroChina Office,2023-10-19,2023-10-26,PCJ-2801-CA.pdf
101,Oil Quest Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-19,2023-10-26,0003.pdf
102,Oil Quest Ltd.,Jasa,Drilling Rig Services 750 HP,Calon Peserta Lelang diminta untuk mengajukan proposal jasa 1 (unit) unit rig pemboran di darat dengan kapasitas 750 HP untuk jangka waktu 12 (dua belas) bulan yang akan dimulai segera,2023-10-06,2023-10-13,PCJ-2798-CA.pdf
103,PetroWave Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-06,2023-10-13,0003.pdf
104,PetroWave Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-06,2023-10-13,0003.pdf
105,PetroWave Ltd.,Barang,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-06,2023-10-13,0003.pdf
106,PetroWave Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-06,2023-10-13,0003.pdf
107,PetroWave Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-06,2023-10-13,0003.pdf
108,PetroWave Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-05,2023-10-12,0003.pdf
109,Gas Solutions Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-05,2023-10-12,0003.pdf
110,Gas Solutions Ltd.,Barang,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-05,2023-10-12,0003.pdf
111,Gas Solutions Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-05,2023-10-12,0003.pdf
112,Gas Solutions Ltd.,Barang,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-05,2023-10-12,0003.pdf
113,Gas Solutions Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-05,2023-10-12,0003.pdf
114,Gas Solutions Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-05,2023-10-12,0003.pdf
115,Gas Solutions Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-05,2023-10-12,0003.pdf
116,Gas Solutions Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-04,2023-10-11,0003.pdf
117,Gas Solutions Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-04,2023-10-11,0003.pdf
118,Gas Solutions Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-04,2023-10-11,0003.pdf
119,Gas Solutions Ltd.,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-04,2023-10-11,0003.pdf
120,Petro Power EP,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-08-29,2023-09-05,0003.pdf
